id_mutation,lot_numero,surface_carrez
2024-1192131,207,32.33
2024-1192132,12,23.72
2024-1192132,12,23.72
2024-1192133,110,143.16
2024-1192133,110,143.16
2024-1192142,17,43.37
2024-1192152,19,8.87
2024-1192153,17,37.05
2024-1192153,17,37.05
2024-1192163,11,21.31
2024-1192168,69,26.41
2024-1192169,12,152.49
2024-1192169,12,152.49
2024-1192169,14,11.19
2024-1192172,138,40.57
2024-1192177,22,33.46
2024-1192177,22,33.46
2024-1192181,1,19.3
2024-1192194,20,33.32
2024-1192194,20,33.32
2024-1192197,134,9.01
2024-1192197,135,8.86
2024-1192202,22,44.25
2024-1192202,22,44.25
2024-1192202,51,11.0
2024-1192205,12,91.74
2024-1192205,12,91.74
2024-1192205,12,91.74
2024-1192210,16,15.57
2024-1192211,18,15.57
2024-1192212,63,26.37
2024-1192214,149,43.25
