id_mutation;code_commune;annee;valeur_fonciere;type_local;surface_reelle_bati;nombre_pieces_principales;prix_m2
2020-814963;75108;2020;1334620.0;Appartement;107.0;5.0;12473.084112149532
2020-814965;75108;2020;350000.0;Appartement;37.0;1.0;9459.45945945946
2020-814966;75103;2020;675000.0;Appartement;22.0;1.0;30681.81818181818
2020-814966;75103;2020;675000.0;Appartement;24.0;2.0;28125.0
2020-814970;75101;2020;362335.0;Appartement;25.0;1.0;14493.4
2020-814971;75108;2020;200000.0;Appartement;26.0;1.0;7692.307692307692
2020-814972;75103;2020;530000.0;Appartement;40.0;3.0;13250.0
2020-814973;75103;2020;420000.0;Appartement;29.0;1.0;14482.758620689656
2020-814974;75103;2020;638800.0;Appartement;56.0;3.0;11407.142857142857
2020-814975;75103;2020;335000.0;Appartement;26.0;1.0;12884.615384615385
2020-814979;75101;2020;1153870.0;Appartement;70.0;2.0;16483.85714285714
2020-814980;75108;2020;3585000.0;Appartement;180.0;6.0;19916.666666666668
2020-814981;75108;2020;1343750.0;Appartement;127.0;4.0;10580.708661417322
2020-814982;75108;2020;515000.0;Appartement;45.0;2.0;11444.444444444445
2020-814983;75108;2020;2547050.0;Appartement;200.0;7.0;12735.25
2020-814985;75101;2020;420000.0;Appartement;28.0;1.0;15000.0
2020-814986;75108;2020;1840000.0;Appartement;78.0;3.0;23589.74358974359
2020-814989;75108;2020;755800.0;Appartement;48.0;2.0;15745.833333333334
2020-814990;75108;2020;409900.0;Appartement;30.0;1.0;13663.333333333334
2020-814991;75103;2020;1070000.0;Appartement;60.0;2.0;17833.333333333332
2020-814993;75108;2020;1100000.0;Appartement;75.0;3.0;14666.666666666666
2020-814994;75108;2020;162000.0;Appartement;11.0;1.0;14727.272727272728
2020-814996;75103;2020;265000.0;Appartement;16.0;2.0;16562.5
2020-814998;75108;2020;2280000.0;Appartement;185.0;5.0;12324.324324324325
2020-814999;75101;2020;770000.0;Appartement;41.0;3.0;18780.48780487805
2020-815000;75108;2020;105000.0;Appartement;8.0;1.0;13125.0
2020-815001;75108;2020;1128300.0;Appartement;40.0;3.0;28207.5
2020-815001;75108;2020;1128300.0;Appartement;40.0;3.0;28207.5
2020-815002;75101;2020;246000.0;Appartement;16.0;1.0;15375.0
2020-815003;75103;2020;1980050.0;Appartement;80.0;3.0;24750.625
2020-815006;75103;2020;286000.0;Appartement;15.0;1.0;19066.666666666668
2020-815008;75103;2020;766300.0;Appartement;54.0;2.0;14190.74074074074
2020-815009;75108;2020;234000.0;Appartement;28.0;2.0;8357.142857142857
2020-815010;75103;2020;870000.0;Appartement;64.0;3.0;13593.75
